Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C9",0402,2,4.7uF,
"C10, C12, C13, C15, C16, C22, C24, C25, C26, C28, C29, C31, C33, C34, C35, C36, C41, C42, C43, C44, C6, C8",0402,22,0.1uF,
"C11, C17, C18, C19, C20, C23, C27",0402,7,1uF,
"C14, C30, C32, C37, C38",0402,5,10uF,
C2,0402,1,22pF,
"C21, C7",0402,2,10nF,
"C3, C49, C50",0402,3,22uF,
"C4, C5",0402,2,10pF,
"J1, J5",Molex_502244-1530_1x15-1MP_P0.5mm_Horizontal,2,Conn_01x15_Socket,
"J2, J3",USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,2,USB_C_Receptacle_USB2.0_16P,
J6,PinHeader_2x10_P2.54mm_Vertical,1,Conn_01x20_Pin,
J7,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08_Pin,
J9,PinHeader_2x08_P2.54mm_Vertical,1,Conn_01x16_Pin,
L1,0402,1,2.2uH,
L2,0603,1,10uH,
"R1, R2",0402,2,499k,
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R20, R3, R4, R6, R7, R8, R9",0402,16,0,
"R19, R35, R5",0402,3,10k,
"R21, R22",0402,2,4.02k,
"R25, R26, R27, R28",0402,4,5.1k,
R36,0402,1,6.2k,
SW1,SW_Push_SPST_NO_Alps_SKRK,1,SW_DPST_x2,
U1,ESP32-P4,1,~,
"U2, U4",SOT-563,2,TLV62569ADRL,
U6,SOIC-16_4.55x10.3mm_P1.27mm,1,SL2.1A,
W25Q512JVFIQ1,SOIC-16W_7.5x10.3mm_P1.27mm,1,~,
Y1,Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm,1,40Mhz(+/-10ppm),
Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,12Mhz,
